procedure_code,description,procedure_group
11771,Removal of pilonidal lesion,Surgery
11772,Removal of pilonidal lesion,Surgery
11900,Injection into skin lesions,Surgery
11901,Added skin lesions injection,Surgery
11920,Correct skin color defects,Surgery
11921,Correct skin color defects,Surgery
11922,Correct skin color defects,Surgery
11950,Therapy for contour defects,Surgery
11951,Therapy for contour defects,Surgery
11952,Therapy for contour defects,Surgery
11954,Therapy for contour defects,Surgery
11960,Insert tissue expander(s),Surgery
11970,Replace tissue expander,Surgery
11971,Remove tissue expander(s),Surgery
11975,Insert contraceptive cap,Surgery
11976,Removal of contraceptive cap,Surgery
11977,Removal/reinsert contra cap,Surgery
11980,Implant hormone pellet(s),Surgery
11981,Insert drug implant device,Surgery
11982,Remove drug implant device,Surgery
11983,Remove/insert drug implant,Surgery
12001,Repair superficial wound(s),Surgery
12002,Repair superficial wound(s),Surgery
12004,Repair superficial wound(s),Surgery
12005,Repair superficial wound(s),Surgery
12006,Repair superficial wound(s),Surgery
12007,Repair superficial wound(s),Surgery
12011,Repair superficial wound(s),Surgery
12013,Repair superficial wound(s),Surgery
12014,Repair superficial wound(s),Surgery
12015,Repair superficial wound(s),Surgery
12016,Repair superficial wound(s),Surgery
12017,Repair superficial wound(s),Surgery
12018,Repair superficial wound(s),Surgery
12020,Closure of split wound,Surgery
12021,Closure of split wound,Surgery
12031,Layer closure of wound(s),Surgery
12032,Layer closure of wound(s),Surgery
12034,Layer closure of wound(s),Surgery
12035,Layer closure of wound(s),Surgery
12036,Layer closure of wound(s),Surgery
12037,Layer closure of wound(s),Surgery
12041,Layer closure of wound(s),Surgery
12042,Layer closure of wound(s),Surgery
12044,Layer closure of wound(s),Surgery
12045,Layer closure of wound(s),Surgery
12046,Layer closure of wound(s),Surgery
12047,Layer closure of wound(s),Surgery
12051,Layer closure of wound(s),Surgery
12052,Layer closure of wound(s),Surgery
12053,Layer closure of wound(s),Surgery
12054,Layer closure of wound(s),Surgery
12055,Layer closure of wound(s),Surgery
12056,Layer closure of wound(s),Surgery
12057,Layer closure of wound(s),Surgery
13100,Repair of wound or lesion,Surgery
13101,Repair of wound or lesion,Surgery
13102,Repair wound/lesion add-on,Surgery
13120,Repair of wound or lesion,Surgery
13121,Repair of wound or lesion,Surgery
13122,Repair wound/lesion add-on,Surgery
13131,Repair of wound or lesion,Surgery
13132,Repair of wound or lesion,Surgery
13133,Repair wound/lesion add-on,Surgery
13150,Repair of wound or lesion,Surgery
13151,Repair of wound or lesion,Surgery
13152,Repair of wound or lesion,Surgery
13153,Repair wound/lesion add-on,Surgery
13160,Late closure of wound,Surgery
14000,Skin tissue rearrangement,Surgery
14001,Skin tissue rearrangement,Surgery
14020,Skin tissue rearrangement,Surgery
14021,Skin tissue rearrangement,Surgery
14040,Skin tissue rearrangement,Surgery
14041,Skin tissue rearrangement,Surgery
14060,Skin tissue rearrangement,Surgery
14061,Skin tissue rearrangement,Surgery
14300,Skin tissue rearrangement,Surgery
14350,Skin tissue rearrangement,Surgery
15000,Skin graft,Surgery
15001,Skin graft add-on,Surgery
15050,Skin pinch graft,Surgery
15100,Skin split graft,Surgery
15101,Skin split graft add-on,Surgery
15120,Skin split graft,Surgery
15121,Skin split graft add-on,Surgery
15200,Skin full graft,Surgery
15201,Skin full graft add-on,Surgery
15220,Skin full graft,Surgery
15221,Skin full graft add-on,Surgery
15240,Skin full graft,Surgery
15241,Skin full graft add-on,Surgery
15260,Skin full graft,Surgery
15261,Skin full graft add-on,Surgery
15342,"Cultured skin graft, 25 cm",Surgery
15343,Culture skn graft addl 25 cm,Surgery
15350,Skin homograft,Surgery
15351,Skin homograft add-on,Surgery
15400,Skin heterograft,Surgery
15401,Skin heterograft add-on,Surgery
15570,Form skin pedicle flap,Surgery
15572,Form skin pedicle flap,Surgery
15574,Form skin pedicle flap,Surgery
15576,Form skin pedicle flap,Surgery
15600,Skin graft,Surgery
15610,Skin graft,Surgery
15620,Skin graft,Surgery
15630,Skin graft,Surgery
15650,Transfer skin pedicle flap,Surgery
15732,"Muscle-skin graft, head/neck",Surgery
15734,"Muscle-skin graft, trunk",Surgery
15736,"Muscle-skin graft, arm",Surgery
15738,"Muscle-skin graft, leg",Surgery
15740,Island pedicle flap graft,Surgery
15750,Neurovascular pedicle graft,Surgery
15756,Free myo/skin flap microvasc,Surgery
15757,"Free skin flap, microvasc",Surgery
15758,"Free fascial flap, microvasc",Surgery
15760,Composite skin graft,Surgery
15770,Derma-fat-fascia graft,Surgery
15775,Hair transplant punch grafts,Surgery
15776,Hair transplant punch grafts,Surgery
15780,Abrasion treatment of skin,Surgery
15781,Abrasion treatment of skin,Surgery
15782,Abrasion treatment of skin,Surgery
15783,Abrasion treatment of skin,Surgery
15786,"Abrasion, lesion, single",Surgery
15787,"Abrasion, lesions, add-on",Surgery
15788,"Chemical peel, face, epiderm",Surgery
15789,"Chemical peel, face, dermal",Surgery
15792,"Chemical peel, nonfacial",Surgery
15793,"Chemical peel, nonfacial",Surgery
15810,Salabrasion,Surgery
15811,Salabrasion,Surgery
15819,"Plastic surgery, neck",Surgery
15820,Revision of lower eyelid,Surgery
15821,Revision of lower eyelid,Surgery
15822,Revision of upper eyelid,Surgery
15823,Revision of upper eyelid,Surgery
15824,Removal of forehead wrinkles,Surgery
15825,Removal of neck wrinkles,Surgery
15826,Removal of brow wrinkles,Surgery
15828,Removal of face wrinkles,Surgery
15829,Removal of skin wrinkles,Surgery
15831,Excise excessive skin tissue,Surgery
15832,Excise excessive skin tissue,Surgery
15833,Excise excessive skin tissue,Surgery
15834,Excise excessive skin tissue,Surgery
15835,Excise excessive skin tissue,Surgery
15836,Excise excessive skin tissue,Surgery
15837,Excise excessive skin tissue,Surgery
15838,Excise excessive skin tissue,Surgery
15839,Excise excessive skin tissue,Surgery
15840,Graft for face nerve palsy,Surgery
15841,Graft for face nerve palsy,Surgery
15842,Flap for face nerve palsy,Surgery
15845,"Skin and muscle repair, face",Surgery
15850,Removal of sutures,Surgery
15851,Removal of sutures,Surgery
15852,Dressing change not for burn,Surgery
15860,Test for blood flow in graft,Surgery
15876,Suction assisted lipectomy,Surgery
15877,Suction assisted lipectomy,Surgery
15878,Suction assisted lipectomy,Surgery
15879,Suction assisted lipectomy,Surgery
15920,Removal of tail bone ulcer,Surgery
15922,Removal of tail bone ulcer,Surgery
15931,Remove sacrum pressure sore,Surgery
15933,Remove sacrum pressure sore,Surgery
15934,Remove sacrum pressure sore,Surgery
15935,Remove sacrum pressure sore,Surgery
15936,Remove sacrum pressure sore,Surgery
15937,Remove sacrum pressure sore,Surgery
15940,Remove hip pressure sore,Surgery
15941,Remove hip pressure sore,Surgery
15944,Remove hip pressure sore,Surgery
15945,Remove hip pressure sore,Surgery
15946,Remove hip pressure sore,Surgery
15950,Remove thigh pressure sore,Surgery
15951,Remove thigh pressure sore,Surgery
15952,Remove thigh pressure sore,Surgery
15953,Remove thigh pressure sore,Surgery
15956,Remove thigh pressure sore,Surgery
15958,Remove thigh pressure sore,Surgery
15999,Removal of pressure sore,Surgery
16000,Initial treatment of burn(s),Surgery
16010,Treatment of burn(s),Surgery
16015,Treatment of burn(s),Surgery
16020,Treatment of burn(s),Surgery
16025,Treatment of burn(s),Surgery
16030,Treatment of burn(s),Surgery
16035,"Incision of burn scab, initi",Surgery
16036,Escharotomy; add?l incision,Surgery
17000,Destroy benign/premlg lesion,Surgery
17003,"Destroy lesions, 2-14",Surgery
17004,"Destroy lesions, 15 or more",Surgery
17106,Destruction of skin lesions,Surgery
17107,Destruction of skin lesions,Surgery
17108,Destruction of skin lesions,Surgery
17110,"Destruct lesion, 1-14",Surgery
17111,"Destruct lesion, 15 or more",Surgery
17250,"Chemical cautery, tissue",Surgery
17260,Destruction of skin lesions,Surgery
17261,Destruction of skin lesions,Surgery
17262,Destruction of skin lesions,Surgery
17263,Destruction of skin lesions,Surgery
17264,Destruction of skin lesions,Surgery
17266,Destruction of skin lesions,Surgery
17270,Destruction of skin lesions,Surgery
17271,Destruction of skin lesions,Surgery
17272,Destruction of skin lesions,Surgery
17273,Destruction of skin lesions,Surgery
17274,Destruction of skin lesions,Surgery
17276,Destruction of skin lesions,Surgery
17280,Destruction of skin lesions,Surgery
17281,Destruction of skin lesions,Surgery
17282,Destruction of skin lesions,Surgery
17283,Destruction of skin lesions,Surgery
17284,Destruction of skin lesions,Surgery
17286,Destruction of skin lesions,Surgery
17304,"1 stage mohs, up to 5 spec",Surgery
17305,"2 stage mohs, up to 5 spec",Surgery
17306,"3 stage mohs, up to 5 spec",Surgery
17307,Mohs addl stage up to 5 spec,Surgery
17310,Mohs any stage > 5 spec each,Surgery
17340,Cryotherapy of skin,Surgery
17360,Skin peel therapy,Surgery
17380,Hair removal by electrolysis,Surgery
17999,Skin tissue procedure,Surgery
19000,Drainage of breast lesion,Surgery
19001,Drain breast lesion add-on,Surgery
19020,Incision of breast lesion,Surgery
19030,Injection for breast x-ray,Surgery
19100,Bx breast percut w/o image,Surgery
19101,"Biopsy of breast, open",Surgery
19102,Bx breast percut w/image,Surgery
19103,Bx breast percut w/device,Surgery
19110,Nipple exploration,Surgery
19112,Excise breast duct fistula,Surgery
19120,Removal of breast lesion,Surgery
19125,"Excision, breast lesion",Surgery
19126,"Excision, addl breast lesion",Surgery
19140,Removal of breast tissue,Surgery
19160,Partial mastectomy,Surgery
19162,P-mastectomy w/ln removal,Surgery
19180,Removal of breast,Surgery
19182,Removal of breast,Surgery
19200,Removal of breast,Surgery
19220,Removal of breast,Surgery
19240,Removal of breast,Surgery
19260,Removal of chest wall lesion,Surgery
19271,Revision of chest wall,Surgery
19272,Extensive chest wall surgery,Surgery
19290,"Place needle wire, breast",Surgery
19291,"Place needle wire, breast",Surgery
19295,"Place breast clip, percut",Surgery
19296,Place po breast cath for rad,Surgery
19297,Place breast cath for rad,Surgery
19298,Place breast rad tube/caths,Surgery
19316,Suspension of breast,Surgery
19318,Reduction of large breast,Surgery
19324,Enlarge breast,Surgery
19325,Enlarge breast with implant,Surgery
19328,Removal of breast implant,Surgery
19330,Removal of implant material,Surgery
19340,Immediate breast prosthesis,Surgery
19342,Delayed breast prosthesis,Surgery
19350,Breast reconstruction,Surgery
19355,Correct inverted nipple(s),Surgery
19357,Breast reconstruction,Surgery
19361,Breast reconstruction,Surgery
19364,Breast reconstruction,Surgery
19366,Breast reconstruction,Surgery
19367,Breast reconstruction,Surgery
19368,Breast reconstruction,Surgery
19369,Breast reconstruction,Surgery
19370,Surgery of breast capsule,Surgery
19371,Removal of breast capsule,Surgery
19380,Revise breast reconstruction,Surgery
19396,Design custom breast implant,Surgery
19499,Breast surgery procedure,Surgery
20000,Incision of abscess,Surgery
20005,Incision of deep abscess,Surgery
20100,"Explore wound, neck",Surgery
20101,"Explore wound, chest",Surgery
20102,"Explore wound, abdomen",Surgery
20103,"Explore wound, extremity",Surgery
20150,Excise epiphyseal bar,Surgery
20200,Muscle biopsy,Surgery
20205,Deep muscle biopsy,Surgery
20206,"Needle biopsy, muscle",Surgery
20220,"Bone biopsy, trocar/needle",Surgery
20225,"Bone biopsy, trocar/needle",Surgery
20240,"Bone biopsy, excisional",Surgery
20245,"Bone biopsy, excisional",Surgery
20250,Open bone biopsy,Surgery
20251,Open bone biopsy,Surgery
20500,Injection of sinus tract,Surgery
20501,Inject sinus tract for x-ray,Surgery
20520,Removal of foreign body,Surgery
20525,Removal of foreign body,Surgery
20526,"Ther injection, carp tunnel",Surgery
20550,Inj tendon sheath/ligament,Surgery
20551,Inj tendon origin/insertion,Surgery
20552,"Inj trigger point, 1/2 muscl",Surgery
20553,"Inject trigger points, =/> 3",Surgery
20600,"Drain/inject, joint/bursa",Surgery
20605,"Drain/inject, joint/bursa",Surgery
20610,"Drain/inject, joint/bursa",Surgery
20612,Aspirate/inj ganglion cyst,Surgery
20615,Treatment of bone cyst,Surgery
20650,Insert and remove bone pin,Surgery
20660,"Apply, rem fixation device",Surgery
20661,Application of head brace,Surgery
20662,Application of pelvis brace,Surgery
20663,Application of thigh brace,Surgery
20664,Halo brace application,Surgery
20665,Removal of fixation device,Surgery
20670,Removal of support implant,Surgery
20680,Removal of support implant,Surgery
20690,Apply bone fixation device,Surgery
20692,Apply bone fixation device,Surgery
20693,Adjust bone fixation device,Surgery
20694,Remove bone fixation device,Surgery
20802,"Replantation, arm, complete",Surgery
20805,"Replant forearm, complete",Surgery
20808,"Replantation hand, complete",Surgery
20816,"Replantation digit, complete",Surgery
20822,"Replantation digit, complete",Surgery
20824,"Replantation thumb, complete",Surgery
20827,"Replantation thumb, complete",Surgery
20838,"Replantation foot, complete",Surgery
20900,Removal of bone for graft,Surgery
20902,Removal of bone for graft,Surgery
20910,Remove cartilage for graft,Surgery
20912,Remove cartilage for graft,Surgery
20920,Removal of fascia for graft,Surgery
20922,Removal of fascia for graft,Surgery
20924,Removal of tendon for graft,Surgery
20926,Removal of tissue for graft,Surgery
20930,Spinal bone allograft,Surgery
20931,Spinal bone allograft,Surgery
20936,Spinal bone autograft,Surgery
20937,Spinal bone autograft,Surgery
20938,Spinal bone autograft,Surgery
20950,"Fluid pressure, muscle",Surgery
20955,"Fibula bone graft, microvasc",Surgery
20956,"Iliac bone graft, microvasc",Surgery
20957,"Mt bone graft, microvasc",Surgery
20962,"Other bone graft, microvasc",Surgery
20969,"Bone/skin graft, microvasc",Surgery
20970,"Bone/skin graft, iliac crest",Surgery
20972,"Bone/skin graft, metatarsal",Surgery
20973,"Bone/skin graft, great toe",Surgery
20974,Electrical bone stimulation,Surgery
20975,Electrical bone stimulation,Surgery
20979,Us bone stimulation,Surgery
20982,"Ablate, bone tumor(s) perq",Surgery
20999,Musculoskeletal surgery,Surgery
21010,Incision of jaw joint,Surgery
21015,Resection of facial tumor,Surgery
21025,"Excision of bone, lower jaw",Surgery
21026,Excision of facial bone(s),Surgery
21029,Contour of face bone lesion,Surgery
21030,Excise max/zygoma b9 tumor,Surgery
21031,"Remove exostosis, mandible",Surgery
21032,"Remove exostosis, maxilla",Surgery
21034,Excise max/zygoma mlg tumor,Surgery
21040,Excise mandible lesion,Surgery
21044,Removal of jaw bone lesion,Surgery
21045,Extensive jaw surgery,Surgery
21046,Remove mandible cyst complex,Surgery
21047,Excise lwr jaw cyst w/repair,Surgery
21048,Remove maxilla cyst complex,Surgery
21049,Excis uppr jaw cyst w/repair,Surgery
21050,Removal of jaw joint,Surgery
21060,Remove jaw joint cartilage,Surgery
21070,Remove coronoid process,Surgery
21076,Prepare face/oral prosthesis,Surgery
21077,Prepare face/oral prosthesis,Surgery
21079,Prepare face/oral prosthesis,Surgery
21080,Prepare face/oral prosthesis,Surgery
21081,Prepare face/oral prosthesis,Surgery
21082,Prepare face/oral prosthesis,Surgery
21083,Prepare face/oral prosthesis,Surgery
21084,Prepare face/oral prosthesis,Surgery
21085,Prepare face/oral prosthesis,Surgery
21086,Prepare face/oral prosthesis,Surgery
21087,Prepare face/oral prosthesis,Surgery
21088,Prepare face/oral prosthesis,Surgery
21089,Prepare face/oral prosthesis,Surgery
21100,Maxillofacial fixation,Surgery
21110,Interdental fixation,Surgery
21116,"Injection, jaw joint x-ray",Surgery
21120,Reconstruction of chin,Surgery
21121,Reconstruction of chin,Surgery
21122,Reconstruction of chin,Surgery
21123,Reconstruction of chin,Surgery
21125,"Augmentation, lower jaw bone",Surgery
21127,"Augmentation, lower jaw bone",Surgery
21137,Reduction of forehead,Surgery
21138,Reduction of forehead,Surgery
21139,Reduction of forehead,Surgery
21141,"Reconstruct midface, lefort",Surgery
21142,"Reconstruct midface, lefort",Surgery
21143,"Reconstruct midface, lefort",Surgery
21145,"Reconstruct midface, lefort",Surgery
21146,"Reconstruct midface, lefort",Surgery
21147,"Reconstruct midface, lefort",Surgery
21150,"Reconstruct midface, lefort",Surgery
21151,"Reconstruct midface, lefort",Surgery
21154,"Reconstruct midface, lefort",Surgery
21155,"Reconstruct midface, lefort",Surgery
21159,"Reconstruct midface, lefort",Surgery
21160,"Reconstruct midface, lefort",Surgery
21172,Reconstruct orbit/forehead,Surgery
21175,Reconstruct orbit/forehead,Surgery
21179,Reconstruct entire forehead,Surgery
21180,Reconstruct entire forehead,Surgery
21181,Contour cranial bone lesion,Surgery
21182,Reconstruct cranial bone,Surgery
21183,Reconstruct cranial bone,Surgery
21184,Reconstruct cranial bone,Surgery
21188,Reconstruction of midface,Surgery
21193,Reconst lwr jaw w/o graft,Surgery
21194,Reconst lwr jaw w/graft,Surgery
21195,Reconst lwr jaw w/o fixation,Surgery
21196,Reconst lwr jaw w/fixation,Surgery
21198,Reconstr lwr jaw segment,Surgery
21199,Reconstr lwr jaw w/advance,Surgery
21206,Reconstruct upper jaw bone,Surgery
21208,Augmentation of facial bones,Surgery
21209,Reduction of facial bones,Surgery
21210,Face bone graft,Surgery
21215,Lower jaw bone graft,Surgery
21230,Rib cartilage graft,Surgery
21235,Ear cartilage graft,Surgery
21240,Reconstruction of jaw joint,Surgery
21242,Reconstruction of jaw joint,Surgery
21243,Reconstruction of jaw joint,Surgery
21244,Reconstruction of lower jaw,Surgery
21245,Reconstruction of jaw,Surgery
21246,Reconstruction of jaw,Surgery
21247,Reconstruct lower jaw bone,Surgery
21248,Reconstruction of jaw,Surgery
21249,Reconstruction of jaw,Surgery
21255,Reconstruct lower jaw bone,Surgery
21256,Reconstruction of orbit,Surgery
21260,Revise eye sockets,Surgery
21261,Revise eye sockets,Surgery
21263,Revise eye sockets,Surgery
21267,Revise eye sockets,Surgery
21268,Revise eye sockets,Surgery
21270,"Augmentation, cheek bone",Surgery
21275,"Revision, orbitofacial bones",Surgery
21280,Revision of eyelid,Surgery
21282,Revision of eyelid,Surgery
21295,Revision of jaw muscle/bone,Surgery
21296,Revision of jaw muscle/bone,Surgery
21299,Cranio/maxillofacial surgery,Surgery
21300,Treatment of skull fracture,Surgery
21310,Treatment of nose fracture,Surgery
21315,Treatment of nose fracture,Surgery
21320,Treatment of nose fracture,Surgery
21325,Treatment of nose fracture,Surgery
21330,Treatment of nose fracture,Surgery
21335,Treatment of nose fracture,Surgery
21336,Treat nasal septal fracture,Surgery
21337,Treat nasal septal fracture,Surgery
21338,Treat nasoethmoid fracture,Surgery
21339,Treat nasoethmoid fracture,Surgery
21340,Treatment of nose fracture,Surgery
21343,Treatment of sinus fracture,Surgery
21344,Treatment of sinus fracture,Surgery
21345,Treat nose/jaw fracture,Surgery
21346,Treat nose/jaw fracture,Surgery
21347,Treat nose/jaw fracture,Surgery
21348,Treat nose/jaw fracture,Surgery
21355,Treat cheek bone fracture,Surgery
21356,Treat cheek bone fracture,Surgery
21360,Treat cheek bone fracture,Surgery
21365,Treat cheek bone fracture,Surgery
21366,Treat cheek bone fracture,Surgery
21385,Treat eye socket fracture,Surgery
21386,Treat eye socket fracture,Surgery
21387,Treat eye socket fracture,Surgery
21390,Treat eye socket fracture,Surgery
21395,Treat eye socket fracture,Surgery
21400,Treat eye socket fracture,Surgery
21401,Treat eye socket fracture,Surgery
21406,Treat eye socket fracture,Surgery
21407,Treat eye socket fracture,Surgery
21408,Treat eye socket fracture,Surgery
21421,Treat mouth roof fracture,Surgery
21422,Treat mouth roof fracture,Surgery
21423,Treat mouth roof fracture,Surgery
21431,Treat craniofacial fracture,Surgery
21432,Treat craniofacial fracture,Surgery
21433,Treat craniofacial fracture,Surgery
21435,Treat craniofacial fracture,Surgery
21436,Treat craniofacial fracture,Surgery
21440,Treat dental ridge fracture,Surgery
21445,Treat dental ridge fracture,Surgery
21450,Treat lower jaw fracture,Surgery
21451,Treat lower jaw fracture,Surgery
21452,Treat lower jaw fracture,Surgery
21453,Treat lower jaw fracture,Surgery
21454,Treat lower jaw fracture,Surgery
21461,Treat lower jaw fracture,Surgery
21462,Treat lower jaw fracture,Surgery
21465,Treat lower jaw fracture,Surgery
21470,Treat lower jaw fracture,Surgery
21480,Reset dislocated jaw,Surgery
21485,Reset dislocated jaw,Surgery
21490,Repair dislocated jaw,Surgery
21493,Treat hyoid bone fracture,Surgery
21494,Treat hyoid bone fracture,Surgery
21495,Treat hyoid bone fracture,Surgery
21497,Interdental wiring,Surgery
21499,Head surgery procedure,Surgery
21501,Drain neck/chest lesion,Surgery
21502,Drain chest lesion,Surgery
21510,Drainage of bone lesion,Surgery
21550,Biopsy of neck/chest,Surgery
21555,"Remove lesion, neck/chest",Surgery
21556,"Remove lesion, neck/chest",Surgery
21557,"Remove tumor, neck/chest",Surgery
21600,Partial removal of rib,Surgery
21610,Partial removal of rib,Surgery
21615,Removal of rib,Surgery
21616,Removal of rib and nerves,Surgery
21620,Partial removal of sternum,Surgery
21627,Sternal debridement,Surgery
21630,Extensive sternum surgery,Surgery
21632,Extensive sternum surgery,Surgery
21685,Hyoid myotomy & suspension,Surgery
21700,Revision of neck muscle,Surgery
21705,Revision of neck muscle/rib,Surgery
21720,Revision of neck muscle,Surgery
21725,Revision of neck muscle,Surgery
21740,Reconstruction of sternum,Surgery
21742,Repair stern/nuss w/o scope,Surgery
21743,Repair sternum/nuss w/scope,Surgery
21750,Repair of sternum separation,Surgery
21800,Treatment of rib fracture,Surgery
21805,Treatment of rib fracture,Surgery
21810,Treatment of rib fracture(s),Surgery
21820,Treat sternum fracture,Surgery
21825,Treat sternum fracture,Surgery
21899,Neck/chest surgery procedure,Surgery
21920,Biopsy soft tissue of back,Surgery
21925,Biopsy soft tissue of back,Surgery
21930,"Remove lesion, back or flank",Surgery
21935,"Remove tumor, back",Surgery
22100,Remove part of neck vertebra,Surgery
22101,"Remove part, thorax vertebra",Surgery
22102,"Remove part, lumbar vertebra",Surgery
22103,Remove extra spine segment,Surgery
22110,Remove part of neck vertebra,Surgery
22112,"Remove part, thorax vertebra",Surgery
22114,"Remove part, lumbar vertebra",Surgery
22116,Remove extra spine segment,Surgery
22210,Revision of neck spine,Surgery
22212,Revision of thorax spine,Surgery
22214,Revision of lumbar spine,Surgery
22216,"Revise, extra spine segment",Surgery
22220,Revision of neck spine,Surgery
22222,Revision of thorax spine,Surgery
22224,Revision of lumbar spine,Surgery
22226,"Revise, extra spine segment",Surgery
22305,Treat spine process fracture,Surgery
22310,Treat spine fracture,Surgery
22315,Treat spine fracture,Surgery
22318,Treat odontoid fx w/o graft,Surgery
22319,Treat odontoid fx w/graft,Surgery
22325,Treat spine fracture,Surgery
22326,Treat neck spine fracture,Surgery
22327,Treat thorax spine fracture,Surgery
22328,Treat each add spine fx,Surgery
22505,Manipulation of spine,Surgery
22520,Percut vertebroplasty thor,Surgery
22521,Percut vertebroplasty lumb,Surgery
22522,Percut vertebroplasty add?l,Surgery
22532,Lat thorax spine fusion,Surgery
22533,Lat lumbar spine fusion,Surgery
22534,"Lat thor/lumb, add?l seg",Surgery
22548,Neck spine fusion,Surgery
22554,Neck spine fusion,Surgery
22556,Thorax spine fusion,Surgery
22558,Lumbar spine fusion,Surgery
22585,Additional spinal fusion,Surgery
22590,Spine & skull spinal fusion,Surgery
22595,Neck spinal fusion,Surgery
22600,Neck spine fusion,Surgery
22610,Thorax spine fusion,Surgery
22612,Lumbar spine fusion,Surgery
22614,"Spine fusion, extra segment",Surgery
